P1_action,file_name
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
4,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
0,dataset_1_game_00
