P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, 1)","(8, 21)","(-7, 24)","(-40.0, 0.0)","(-80, 2)","(-23, -97)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -263)","(-97, -264)",12241
"(0, 2)","(8, 22)","(-7, 25)","(-40.0, 0.0)","(-80, 3)","(-23, -96)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -262)","(-97, -264)",12276
"(0, 3)","(8, 23)","(-7, 26)","(-40.0, 0.0)","(-80, 4)","(-23, -95)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -261)","(-97, -264)",12310
"(0, 4)","(8, 24)","(-7, 27)","(-40.0, 0.0)","(-80, 5)","(-23, -94)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -260)","(-97, -264)",12345
"(0, 5)","(8, 25)","(-7, 28)","(-40.0, 0.0)","(-80, 6)","(-23, -93)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -259)","(-97, -264)",12379
"(0, 6)","(8, 26)","(-7, 29)","(-40.0, 0.0)","(-80, 7)","(-23, -92)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -258)","(-97, -264)",12414
"(0, 7)","(8, 27)","(-7, 30)","(-40.0, 0.0)","(-80, 8)","(-23, -91)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -257)","(-97, -264)",12448
"(0, 8)","(8, 28)","(-7, 31)","(-40.0, 0.0)","(-80, 9)","(-23, -90)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -256)","(-97, -264)",12483
"(0, 9)","(8, 29)","(-7, 32)","(-40.0, 0.0)","(-80, 10)","(-23, -89)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -255)","(-97, -264)",12517
"(0, 10)","(8, 30)","(-7, 33)","(-40.0, 0.0)","(-80, 11)","(-23, -88)","(8, 20)","(-7, 23)","(-40.0, 0.0)","(-80, 1)","(-23, -98)","(-97, -254)","(-97, -264)",12552
