P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_action,P2_action,reward,timestamp_milliseconds
"(-1, 0)","(0.0, 9.0)","(-28.0, 0.0)","(-29.0, 0.0)","(0.0, -39.0)","(15, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(19, -410)","(20, -410)",0,4,200,7143
"(-2, 0)","(0.0, 9.0)","(-29.0, 0.0)","(-30.0, 0.0)","(0.0, -39.0)","(14, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(18, -410)","(20, -410)",0,4,200,7179
"(-3, 0)","(0.0, 9.0)","(-30.0, 0.0)","(-31.0, 0.0)","(0.0, -39.0)","(13, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(17, -410)","(20, -410)",0,4,200,7214
"(-4, 0)","(0.0, 9.0)","(-31.0, 0.0)","(-32.0, 0.0)","(0.0, -39.0)","(12, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(16, -410)","(20, -410)",0,4,200,7250
"(-5, 0)","(0.0, 9.0)","(-32.0, 0.0)","(-33.0, 0.0)","(0.0, -39.0)","(11, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(15, -410)","(20, -410)",0,4,200,7286
"(-6, 0)","(0.0, 9.0)","(-33.0, 0.0)","(-34.0, 0.0)","(0.0, -39.0)","(10, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(14, -410)","(20, -410)",0,4,200,7321
"(-7, 0)","(0.0, 9.0)","(-34.0, 0.0)","(-35.0, 0.0)","(0.0, -39.0)","(9, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(13, -410)","(20, -410)",0,4,200,7357
"(-8, 0)","(0.0, 9.0)","(-35.0, 0.0)","(-36.0, 0.0)","(0.0, -39.0)","(8, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(12, -410)","(20, -410)",0,4,200,7393
"(-9, 0)","(0.0, 9.0)","(-36.0, 0.0)","(-37.0, 0.0)","(0.0, -39.0)","(7, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(11, -410)","(20, -410)",0,4,200,7429
"(-10, 0)","(0.0, 9.0)","(-37.0, 0.0)","(-38.0, 0.0)","(0.0, -39.0)","(6, -104)","(0.0, 9.0)","(-27.0, 0.0)","(-28.0, 0.0)","(0.0, -39.0)","(-105.0, 0.0)","(10, -410)","(20, -410)",0,4,200,7464
